E3 Ligase;InChI Key;Smiles;source;id;Hf_Hf_d1;Hf_Hf_d2;Hf_Hf_d3;Hf_Hf_d4;Hf_Hf_d5;Hf_Hf_d6;Hf_Hf_d7;Hf_Hf_d8;Hf_Hf_d9;Hf_Hf_d10;Hf_Hf_d11;Hf_Hf_d12;Hf_Hf_d13;Hf_Hf_d14;Hf_Hf_d15;Hf_Ar_d1;Hf_Ar_d2;Hf_Ar_d3;Hf_Ar_d4;Hf_Ar_d5;Hf_Ar_d6;Hf_Ar_d7;Hf_Ar_d8;Hf_Ar_d9;Hf_Ar_d10;Hf_Ar_d11;Hf_Ar_d12;Hf_Ar_d13;Hf_Ar_d14;Hf_Ar_d15;Hf_D_d1;Hf_D_d2;Hf_D_d3;Hf_D_d4;Hf_D_d5;Hf_D_d6;Hf_D_d7;Hf_D_d8;Hf_D_d9;Hf_D_d10;Hf_D_d11;Hf_D_d12;Hf_D_d13;Hf_D_d14;Hf_D_d15;Hf_+_d1;Hf_+_d2;Hf_+_d3;Hf_+_d4;Hf_+_d5;Hf_+_d6;Hf_+_d7;Hf_+_d8;Hf_+_d9;Hf_+_d10;Hf_+_d11;Hf_+_d12;Hf_+_d13;Hf_+_d14;Hf_+_d15;Hf_Ac_d1;Hf_Ac_d2;Hf_Ac_d3;Hf_Ac_d4;Hf_Ac_d5;Hf_Ac_d6;Hf_Ac_d7;Hf_Ac_d8;Hf_Ac_d9;Hf_Ac_d10;Hf_Ac_d11;Hf_Ac_d12;Hf_Ac_d13;Hf_Ac_d14;Hf_Ac_d15;Hf_-_d1;Hf_-_d2;Hf_-_d3;Hf_-_d4;Hf_-_d5;Hf_-_d6;Hf_-_d7;Hf_-_d8;Hf_-_d9;Hf_-_d10;Hf_-_d11;Hf_-_d12;Hf_-_d13;Hf_-_d14;Hf_-_d15;Ar_Ar_d1;Ar_Ar_d2;Ar_Ar_d3;Ar_Ar_d4;Ar_Ar_d5;Ar_Ar_d6;Ar_Ar_d7;Ar_Ar_d8;Ar_Ar_d9;Ar_Ar_d10;Ar_Ar_d11;Ar_Ar_d12;Ar_Ar_d13;Ar_Ar_d14;Ar_Ar_d15;Ar_D_d1;Ar_D_d2;Ar_D_d3;Ar_D_d4;Ar_D_d5;Ar_D_d6;Ar_D_d7;Ar_D_d8;Ar_D_d9;Ar_D_d10;Ar_D_d11;Ar_D_d12;Ar_D_d13;Ar_D_d14;Ar_D_d15;Ar_+_d1;Ar_+_d2;Ar_+_d3;Ar_+_d4;Ar_+_d5;Ar_+_d6;Ar_+_d7;Ar_+_d8;Ar_+_d9;Ar_+_d10;Ar_+_d11;Ar_+_d12;Ar_+_d13;Ar_+_d14;Ar_+_d15;Ar_Ac_d1;Ar_Ac_d2;Ar_Ac_d3;Ar_Ac_d4;Ar_Ac_d5;Ar_Ac_d6;Ar_Ac_d7;Ar_Ac_d8;Ar_Ac_d9;Ar_Ac_d10;Ar_Ac_d11;Ar_Ac_d12;Ar_Ac_d13;Ar_Ac_d14;Ar_Ac_d15;Ar_-_d1;Ar_-_d2;Ar_-_d3;Ar_-_d4;Ar_-_d5;Ar_-_d6;Ar_-_d7;Ar_-_d8;Ar_-_d9;Ar_-_d10;Ar_-_d11;Ar_-_d12;Ar_-_d13;Ar_-_d14;Ar_-_d15;D_D_d1;D_D_d2;D_D_d3;D_D_d4;D_D_d5;D_D_d6;D_D_d7;D_D_d8;D_D_d9;D_D_d10;D_D_d11;D_D_d12;D_D_d13;D_D_d14;D_D_d15;D_+_d1;D_+_d2;D_+_d3;D_+_d4;D_+_d5;D_+_d6;D_+_d7;D_+_d8;D_+_d9;D_+_d10;D_+_d11;D_+_d12;D_+_d13;D_+_d14;D_+_d15;D_Ac_d1;D_Ac_d2;D_Ac_d3;D_Ac_d4;D_Ac_d5;D_Ac_d6;D_Ac_d7;D_Ac_d8;D_Ac_d9;D_Ac_d10;D_Ac_d11;D_Ac_d12;D_Ac_d13;D_Ac_d14;D_Ac_d15;D_-_d1;D_-_d2;D_-_d3;D_-_d4;D_-_d5;D_-_d6;D_-_d7;D_-_d8;D_-_d9;D_-_d10;D_-_d11;D_-_d12;D_-_d13;D_-_d14;D_-_d15;+_+_d1;+_+_d2;+_+_d3;+_+_d4;+_+_d5;+_+_d6;+_+_d7;+_+_d8;+_+_d9;+_+_d10;+_+_d11;+_+_d12;+_+_d13;+_+_d14;+_+_d15;+_Ac_d1;+_Ac_d2;+_Ac_d3;+_Ac_d4;+_Ac_d5;+_Ac_d6;+_Ac_d7;+_Ac_d8;+_Ac_d9;+_Ac_d10;+_Ac_d11;+_Ac_d12;+_Ac_d13;+_Ac_d14;+_Ac_d15;+_-_d1;+_-_d2;+_-_d3;+_-_d4;+_-_d5;+_-_d6;+_-_d7;+_-_d8;+_-_d9;+_-_d10;+_-_d11;+_-_d12;+_-_d13;+_-_d14;+_-_d15;Ac_Ac_d1;Ac_Ac_d2;Ac_Ac_d3;Ac_Ac_d4;Ac_Ac_d5;Ac_Ac_d6;Ac_Ac_d7;Ac_Ac_d8;Ac_Ac_d9;Ac_Ac_d10;Ac_Ac_d11;Ac_Ac_d12;Ac_Ac_d13;Ac_Ac_d14;Ac_Ac_d15;Ac_-_d1;Ac_-_d2;Ac_-_d3;Ac_-_d4;Ac_-_d5;Ac_-_d6;Ac_-_d7;Ac_-_d8;Ac_-_d9;Ac_-_d10;Ac_-_d11;Ac_-_d12;Ac_-_d13;Ac_-_d14;Ac_-_d15;-_-_d1;-_-_d2;-_-_d3;-_-_d4;-_-_d5;-_-_d6;-_-_d7;-_-_d8;-_-_d9;-_-_d10;-_-_d11;-_-_d12;-_-_d13;-_-_d14;-_-_d15
VHL;JOSFQWNOUSNZBP-QXVOPTETSA-N;O=C(C(N)C(C)(C)C)N1[C@](C(=O)N[C@@](C)c2ccc(-c3c(C)ncs3)cc2)C[C@@](O)C1;Patent;evo_57;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0.30000001;2.3;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;0.30000001;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;3.3;1.3;1.3;0.30000001;0;0;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;BPOBJYYVZJUKDD-IJEWVQPXSA-N;O=C([C@@](N)C(C)(C)C)N1[C@](C(=O)NCc2cnc(N(C)C)cc2)C[C@@](O)C1;Patent;evo_58;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0.30000001;2.3;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;1.3;3.3;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;BYTDDQXCKOPCKG-KLIQENQMSA-N;O=C([C@@](N)C(C)(C)C)N1[C@](C(=O)N[C@@](C)c2ccc(-c3n(C)ccn3)cc2)C[C@@](O)C1;Patent;evo_59;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0.30000001;2.3;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;1.3;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;3.3;2.3;0.30000001;0;0;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;JOSFQWNOUSNZBP-VPPCCHSQSA-N;O=C(C(N)C(C)(C)C)N1[C@@](C(=O)N[C@](C)c2ccc(-c3c(C)ncs3)cc2)C[C@](O)C1;Patent;evo_60;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0.30000001;2.3;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;0.30000001;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;3.3;1.3;1.3;0.30000001;0;0;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;JOSFQWNOUSNZBP-DOFJYSBOSA-N;O=C([C@@](N)C(C)(C)C)N1[C@@](C(=O)N[C@@](C)c2ccc(-c3c(C)ncs3)cc2)C[C@@](O)C1;Patent;evo_61;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0.30000001;2.3;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;0.30000001;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;3.3;1.3;1.3;0.30000001;0;0;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;IAGXCBSLIAZEEB-IYARXBQZSA-N;O=C(O[C@]1CN(C(=O)[C@@](N)C(C)(C)C)[C@](C(=O)N[C@@](C)c2ccc(-c3c(C)ncs3)cc2)C1)[C@@](N)CCCCN;Patent;evo_62;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0.30000001;1.3;1.3;1.3;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;1.3;0.30000001;1.3;0.30000001;1.3;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;1.3;1.3;3.3;3.3;0.30000001;0;0.30000001;2.3;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;2.3;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;ZIEDOJRESXXTBP-OJSYQWSKSA-N;O=C([C@@](N)C(C)(C)C)N1[C@](C(=O)N[C@@](C)c2ccc(-c3c(C)ncs3)cc2)C[C@@](OC(=O)C2NCCC2)C1;Patent;evo_63;0;0;0.30000001;1.3;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;1.3;1.3;1.3;1.3;1.3;1.3;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;4.3000002;1.3;0.30000001;1.3;0.30000001;3.3;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;1.3;1.3;2.3;3.3;0.30000001;0;0;0.30000001;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;2.3;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;VLNJFOYTKKJMKR-KAOQSXJYSA-N;O=C(O[C@]1CN(C(=O)[C@@](N)C(C)(C)C)[C@](C(=O)N[C@@](C)c2ccc(-c3c(C)ncs3)cc2)C1)[C@@](NC(=O)[C@@](N)C(C)C)C(C)C;Patent;evo_64;0;0;0.30000001;1.3;2.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;2.3;0.30000001;0.30000001;3.3;2.3;1.3;2.3;1.3;0.30000001;2.3;2.3;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;5.3000002;2.3;0.30000001;2.3;1.3;3.3;0.30000001;1.3;3.3;0.30000001;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;2.3;3.3;0.30000001;1.3;2.3;2.3;3.3;0.30000001;1.3;3.3;0.30000001;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;2.3;0.30000001;2.3;0.30000001;1.3;2.3;0.30000001;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;YCOIWECYCASSOQ-KEGWAMKXSA-N;O=C(O[C@]1CN(C(=O)[C@@](N)C(C)(C)C)[C@](C(=O)N[C@@](C)c2ccc(-c3c(C)ncs3)cc2)C1)[C@@](N)C(C)C;Patent;evo_65;0;0;0.30000001;1.3;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;0.30000001;2.3;1.3;1.3;1.3;1.3;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;4.3000002;1.3;0.30000001;1.3;0.30000001;3.3;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;1.3;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;1.3;1.3;2.3;3.3;0.30000001;0;0;0.30000001;1.3;0.30000001;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;2.3;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VHL;ZCFYUUIDPPYJJK-HOUBMWHVSA-N;O=C([C@@](N)C(C)(C)C)N1[C@](C(=O)N[C@@](CN2CCCC2)c2ccc(-c3c(C)ncs3)cc2)C[C@@](O)C1;Patent;evo_66;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;1.3;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0.30000001;2.3;1.3;2.3;0.30000001;2.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;3.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;2.3;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;1.3;1.3;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0.30000001;0.30000001;1.3;1.3;0.30000001;0.30000001;2.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;2.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;1.3;0.30000001;3.3;1.3;1.3;0.30000001;0;0;0.30000001;1.3;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30000001;1.3;0.30000001;0;0.30000001;1.3;0.30000001;0.30000001;1.3;0.30000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
